ID	COST_1	SIZE_1	STORAGE_1	CAM_1	COST_2	SIZE_2	STORAGE_2	CAM_2	COST_3	SIZE_3	STORAGE_3	CAM_3	CHOICE	GENDER	INC	AVAIL_1	AVAIL_2	AVAIL_3
23	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	1	1	1	1
24	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	2	1	1	1
24	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	2	1	1	1
24	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	1	2	1	1	1
24	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	2	1	1	1
24	700	6	64	2	400	5.8	256	1	600	6.4	32	4	2	1	2	1	1	1
24	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	2	1	1	1
24	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	2	1	1	1
24	400	6.2	32	1	600	5.8	128	4	700	6	64	3	2	1	2	1	1	1
24	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	2	1	1	1
24	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	1	2	1	1	1
25	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	1	1	1	1
25	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	1	1	1	1
25	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	1	1	1	1	1
25	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	1	1	1	1	1
25	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	1	1	1	1	1
25	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	1	1	1	1
25	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	1	1	1	1
25	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	1	1	1	1	1
25	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	1	1	1	1
25	500	6.4	32	4	600	6	64	2	400	5.8	256	1	3	1	1	1	1	1
26	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	1	1	1	1
26	600	6	64	2	400	6.4	32	1	500	5.8	256	4	1	1	1	1	1	1
26	400	5.8	32	1	700	6.4	256	3	700	6	64	2	3	1	1	1	1	1
26	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	1	1	1	1	1
26	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	1	1	1	1	1
26	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	1	1	1	1
26	500	5.8	128	2	500	6	64	2	400	6.2	128	3	2	1	1	1	1	1
26	400	6.2	32	1	600	5.8	128	4	700	6	64	3	2	1	1	1	1	1
26	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	1	1	1	1
26	500	6.4	32	4	600	6	64	2	400	5.8	256	1	3	1	1	1	1	1
27	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	0	2	1	1	1
27	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	2	1	1	1
27	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	2	1	1	1
27	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	0	2	1	1	1
27	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	2	1	1	1
27	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	2	1	1	1
27	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	2	1	1	1
27	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	0	2	1	1	1
27	700	6	128	3	700	6.2	128	3	400	6.2	32	1	2	0	2	1	1	1
27	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	2	1	1	1
28	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	1	1	1	1
28	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	1	1	1	1
28	400	5.8	32	1	700	6.4	256	3	700	6	64	2	3	1	1	1	1	1
28	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	1	1	1	1
28	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	1	1	1	1	1
28	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	1	1	1	1
28	500	5.8	128	2	500	6	64	2	400	6.2	128	3	2	1	1	1	1	1
28	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	1	1	1	1	1
28	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	1	1	1	1
28	500	6.4	32	4	600	6	64	2	400	5.8	256	1	2	1	1	1	1	1
29	500	6.4	256	1	400	5.8	32	4	600	6	64	2	1	0	2	1	1	1
29	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	2	1	1	1
29	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	0	2	1	1	1
29	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	2	0	2	1	1	1
29	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	2	1	1	1
29	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	2	1	1	1
29	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	2	1	1	1
29	400	6.2	32	1	600	5.8	128	4	700	6	64	3	2	0	2	1	1	1
29	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	2	1	1	1
29	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	2	1	1	1
30	500	6.4	256	1	400	5.8	32	4	600	6	64	2	3	0	1	1	1	1
30	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	0	1	1	1	1
30	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	0	1	1	1	1
30	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	0	1	1	1	1
30	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	0	1	1	1	1
30	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	0	1	1	1	1
30	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	0	1	1	1	1
30	400	6.2	32	1	600	5.8	128	4	700	6	64	3	2	0	1	1	1	1
30	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	0	1	1	1	1
30	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	0	1	1	1	1
31	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	2	1	1	1
31	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	2	1	1	1
31	400	5.8	32	1	700	6.4	256	3	700	6	64	2	2	1	2	1	1	1
31	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	2	1	1	1
31	700	6	64	2	400	5.8	256	1	600	6.4	32	4	3	1	2	1	1	1
31	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	2	1	1	1
31	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	2	1	1	1
31	400	6.2	32	1	600	5.8	128	4	700	6	64	3	1	1	2	1	1	1
31	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	2	1	1	1
31	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	1	2	1	1	1
32	500	6.4	256	1	400	5.8	32	4	600	6	64	2	2	1	1	1	1	1
32	600	6	64	2	400	6.4	32	1	500	5.8	256	4	3	1	1	1	1	1
32	400	5.8	32	1	700	6.4	256	3	700	6	64	2	1	1	1	1	1	1
32	400	5.8	64	4	500	6.2	64	1	500	6.4	128	1	1	1	1	1	1	1
32	700	6	64	2	400	5.8	256	1	600	6.4	32	4	2	1	1	1	1	1
32	600	6.2	256	3	500	6	32	2	500	5.8	32	2	1	1	1	1	1	1
32	500	5.8	128	2	500	6	64	2	400	6.2	128	3	3	1	1	1	1	1
32	400	6.2	32	1	600	5.8	128	4	700	6	64	3	2	1	1	1	1	1
32	700	6	128	3	700	6.2	128	3	400	6.2	32	1	3	1	1	1	1	1
32	500	6.4	32	4	600	6	64	2	400	5.8	256	1	1	1	1	1	1	1
